"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1979-06-26","0.87","76","82","73"
"BRM00082900","RECIFE, BR","1979-06-27","0.24","78","81","73"
"BRM00082900","RECIFE, BR","1979-06-28","0.02","75","82","70"
"BRM00082900","RECIFE, BR","1979-06-29","0.20","74","82","72"
"BRM00082900","RECIFE, BR","1979-06-30","0.59","75","79","72"
"BRM00082900","RECIFE, BR","1979-07-02","1.57","72","79","70"
"BRM00082900","RECIFE, BR","1979-07-03","1.65","75",,"70"
"BRM00082900","RECIFE, BR","1979-07-04","0.12","78",,"72"
"BRM00082900","RECIFE, BR","1979-07-06","0.00","76","82","70"
"BRM00082900","RECIFE, BR","1979-07-07",,"74","82","66"
"BRM00082900","RECIFE, BR","1979-07-08","0.79","76","81","72"
"BRM00082900","RECIFE, BR","1979-07-09","0.00","75","82","66"
"BRM00082900","RECIFE, BR","1979-07-10","0.04","76","82","68"
"BRM00082900","RECIFE, BR","1979-07-11","0.00","74","81","68"
"BRM00082900","RECIFE, BR","1979-07-12","0.00","75","82",
"BRM00082900","RECIFE, BR","1979-07-16","0.16","75","82","72"
"BRM00082900","RECIFE, BR","1979-07-17","0.91","73","81","72"
"BRM00082900","RECIFE, BR","1979-07-18","0.12","74","79","70"
"BRM00082900","RECIFE, BR","1979-07-19","0.08","76","81","70"
"BRM00082900","RECIFE, BR","1979-07-20","0.24","74",,"70"
"BRM00082900","RECIFE, BR","1979-07-21","0.00","76",,"70"
"BRM00082900","RECIFE, BR","1979-07-22","0.02","77","84","72"
"BRM00082900","RECIFE, BR","1979-07-23","0.00","73","82","66"
"BRM00082900","RECIFE, BR","1979-07-24","0.16","76","82","72"
"BRM00082900","RECIFE, BR","1979-07-25","0.08","76","82","70"
"BRM00082900","RECIFE, BR","1979-07-26","0.16","73","82","68"
"BRM00082900","RECIFE, BR","1979-07-29","0.04","72","81","68"
"BRM00082900","RECIFE, BR","1979-07-30","0.98","75","81","72"
"BRM00082900","RECIFE, BR","1979-07-31","0.79","76","81","70"
"BRM00082900","RECIFE, BR","1979-08-02","0.12","73","81","68"
"BRM00082900","RECIFE, BR","1979-08-04","0.02","76","81","72"
"BRM00082900","RECIFE, BR","1979-08-05","0.31","75","82","70"
"BRM00082900","RECIFE, BR","1979-08-06","0.63","76","81","70"
"BRM00082900","RECIFE, BR","1979-08-07","0.02","77","81","73"
"BRM00082900","RECIFE, BR","1979-08-08","0.00","78","81","72"
"BRM00082900","RECIFE, BR","1979-08-09","0.04","76","82","72"
"BRM00082900","RECIFE, BR","1979-08-10","0.00","76","82","70"
"BRM00082900","RECIFE, BR","1979-08-11","0.00","73","82","68"
"BRM00082900","RECIFE, BR","1979-08-12","0.00","74","81","70"
"BRM00082900","RECIFE, BR","1979-08-13","0.12","76","82","70"
"BRM00082900","RECIFE, BR","1979-08-14","0.04","76","82","68"
"BRM00082900","RECIFE, BR","1979-08-15","0.00","77","82","72"
"BRM00082900","RECIFE, BR","1979-08-18","0.35","75",,"70"
"BRM00082900","RECIFE, BR","1979-08-19","0.12","76","82","70"
"BRM00082900","RECIFE, BR","1979-08-22","0.12","77","81","73"
"BRM00082900","RECIFE, BR","1979-08-23","0.08","76","81","70"
"BRM00082900","RECIFE, BR","1979-08-24","0.00","75","82","70"
"BRM00082900","RECIFE, BR","1979-08-26","0.00","74","82","66"
"BRM00082900","RECIFE, BR","1979-08-27","0.20","75","81","73"
"BRM00082900","RECIFE, BR","1979-08-28","0.79","76",,"72"
"BRM00082900","RECIFE, BR","1979-08-30","0.08","76","82","72"
"BRM00082900","RECIFE, BR","1979-08-31","0.12","74","82","66"
"BRM00082900","RECIFE, BR","1979-09-01","0.16","74","82","70"
"BRM00082900","RECIFE, BR","1979-09-03","0.35","77",,"73"
"BRM00082900","RECIFE, BR","1979-09-04","1.02","77","82","73"
"BRM00082900","RECIFE, BR","1979-09-05","1.46","75","81","73"
"BRM00082900","RECIFE, BR","1979-09-06","0.08","77",,"70"
"BRM00082900","RECIFE, BR","1979-09-07","0.51","75","82","72"
"BRM00082900","RECIFE, BR","1979-09-08","1.65","78",,"72"
"BRM00082900","RECIFE, BR","1979-09-09","1.30","74","79","70"
